page,token,ctx
README_zh.md,42%,"Entry 794) 〔GSS〕 ⟨漂移 −0.302 SD 超过预注册的 0.25 门槛;**8/8 在宽度内**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **结构定总体之后,受影响的只有一条;而判据又错了一次,同一族第三次**"
README_zh.md,31%,"y 794) 〔GSS〕 ⟨漂移 −0.302 SD 超过预注册的 0.25 门槛;**8/8 在宽度内**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **结构定总体之后,受影响的只有一条;而判据又错了一次,同一族第三次** | 枚"
README_zh.md,72%,"移 −0.302 SD 超过预注册的 0.25 门槛;**8/8 在宽度内**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **结构定总体之后,受影响的只有一条;而判据又错了一次,同一族第三次** | 枚举主表 **91 条主张**("
README_zh.md,71%,".302 SD 超过预注册的 0.25 门槛;**8/8 在宽度内**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **结构定总体之后,受影响的只有一条;而判据又错了一次,同一族第三次** | 枚举主表 **91 条主张**(表行 2"
README_zh.md,**61.1%,"*不是「一生的虔诚度」**(Entry 779) 〔GSS〕 ⟨虔诚层端点斜率高出自己的零 **7.0×** 展布 · 非虔诚层 **6.8×**⟩| | **他们确实改了主意,但只有别人的三分之一到五分之二** | 同期最不虔诚三分位说同性恋「总是错」的从 **61.1% 掉到 21.8%**,而最虔诚三分位 85.9%→67.4% ⇒ **虔诚/非虔诚 比:水平 0.409–0.431 · 端点(相对基线)0.328–0.341** | ⚠⚠ *"
README_zh.md,21.8%,"**(Entry 779) 〔GSS〕 ⟨虔诚层端点斜率高出自己的零 **7.0×** 展布 · 非虔诚层 **6.8×**⟩| | **他们确实改了主意,但只有别人的三分之一到五分之二** | 同期最不虔诚三分位说同性恋「总是错」的从 **61.1% 掉到 21.8%**,而最虔诚三分位 85.9%→67.4% ⇒ **虔诚/非虔诚 比:水平 0.409–0.431 · 端点(相对基线)0.328–0.341** | ⚠⚠ **这补上了上一行缺"
README_zh.md,85.9%,"SS〕 ⟨虔诚层端点斜率高出自己的零 **7.0×** 展布 · 非虔诚层 **6.8×**⟩| | **他们确实改了主意,但只有别人的三分之一到五分之二** | 同期最不虔诚三分位说同性恋「总是错」的从 **61.1% 掉到 21.8%**,而最虔诚三分位 85.9%→67.4% ⇒ **虔诚/非虔诚 比:水平 0.409–0.431 · 端点(相对基线)0.328–0.341** | ⚠⚠ **这补上了上一行缺的那一半** —— 我写过「真的"
README_zh.md,67.4%,"诚层端点斜率高出自己的零 **7.0×** 展布 · 非虔诚层 **6.8×**⟩| | **他们确实改了主意,但只有别人的三分之一到五分之二** | 同期最不虔诚三分位说同性恋「总是错」的从 **61.1% 掉到 21.8%**,而最虔诚三分位 85.9%→67.4% ⇒ **虔诚/非虔诚 比:水平 0.409–0.431 · 端点(相对基线)0.328–0.341** | ⚠⚠ **这补上了上一行缺的那一半** —— 我写过「真的改了主意」并"
README_zh.md,−37%,"这条线上找到的第一个非推导量**(对照 `#770`:份额是推导);⚠⚠ **但幅度不可读,这一条跑前就写下了** —— 高斯零减掉了「分层本身造成的差异」,减不掉方差随层变化的真实幅度:`xmarsex` 的态度 sd 从 0.856 掉到 **0.542(−37%)**,**最虔诚的人彼此意见一致,可相关的方差本来就少** ⇒ 支持的是「交互存在」,不是「有多大」;⚠ `premarsx` 的 **1.08× 就在零上,不算数**,而且它是"
README_zh.md,**33.1%,"因 —— 解释份额是相关意义上的,不是因果分解(Entry 764) 〔GSS〕〔MFQ〕 ⟨残余是政治的 **6.61×**、是宗教的 **1.89×**⟩| | **两具仪器在宗教还是政治上完全相反,却在剩多少上差 0.2 个百分点** | GSS:宗教 **33.1%** · 政治 9.4% · 残余 **62.4%**;MFQ:宗教 16.0% · 政治 **28.7%** · 残余 **62.6%** | ⚠ **不许平均**(realst"
README_zh.md,**28.7%," **6.61×**、是宗教的 **1.89×**⟩| | **两具仪器在宗教还是政治上完全相反,却在剩多少上差 0.2 个百分点** | GSS:宗教 **33.1%** · 政治 9.4% · 残余 **62.4%**;MFQ:宗教 16.0% · 政治 **28.7%** · 残余 **62.6%** | ⚠ **不许平均**(realstat §2.5)—— 分歧的一部分可归因:**MFQ 只有一个宗教量而 GSS 有三个**,宗教份额被结构"
README_zh.md,**62.6%," **1.89×**⟩| | **两具仪器在宗教还是政治上完全相反,却在剩多少上差 0.2 个百分点** | GSS:宗教 **33.1%** · 政治 9.4% · 残余 **62.4%**;MFQ:宗教 16.0% · 政治 **28.7%** · 残余 **62.6%** | ⚠ **不许平均**(realstat §2.5)—— 分歧的一部分可归因:**MFQ 只有一个宗教量而 GSS 有三个**,宗教份额被结构性低估;⚠ **但它解释不了反"
README_zh.md,**62.4%,"*;⚠ 闸三条全过(常数控制差 0.000082 · 打乱差 0.000002 · 偏掉真宗教是自己展布的 570.7×);⚠ 这**收窄了上一行** —— 那两个份额是 GSS 上的,不是关于人的一般事实(Entry 763) 〔GSS〕〔MFQ〕 ⟨残余 **62.4% vs 62.6%**,而拆分是 3.5× vs 0.56×⟩| | **宗教解释三分之一,政治解释一成,而还剩六成二**(⚠ **推导** —— 本行等价于:**虔诚度与看重服从"
README_zh.md,62.6%,"数控制差 0.000082 · 打乱差 0.000002 · 偏掉真宗教是自己展布的 570.7×);⚠ 这**收窄了上一行** —— 那两个份额是 GSS 上的,不是关于人的一般事实(Entry 763) 〔GSS〕〔MFQ〕 ⟨残余 **62.4% vs 62.6%**,而拆分是 3.5× vs 0.56×⟩| | **宗教解释三分之一,政治解释一成,而还剩六成二**(⚠ **推导** —— 本行等价于:**虔诚度与看重服从相关 +0.27、"
README_zh.md,16.0%,"成二**(⚠ **推导** —— 本行等价于:**虔诚度与看重服从相关 +0.27、与性态度相关 +0.25…+0.47**〔`#774` 持久化〕)(⚠ **前两个份额是 GSS 上的,同一轮的第二具仪器把它们反了过来 —— 而残余没反**:MFQ 上宗教 16.0% · 政治 28.7% · 残余 **62.6%**,与 GSS 的 62.4% 差 0.2 个百分点) | 同一批人(n=9,580–10,467)上偏掉:政治 **90.6%*"
README_zh.md,28.7%,"** —— 本行等价于:**虔诚度与看重服从相关 +0.27、与性态度相关 +0.25…+0.47**〔`#774` 持久化〕)(⚠ **前两个份额是 GSS 上的,同一轮的第二具仪器把它们反了过来 —— 而残余没反**:MFQ 上宗教 16.0% · 政治 28.7% · 残余 **62.6%**,与 GSS 的 62.4% 差 0.2 个百分点) | 同一批人(n=9,580–10,467)上偏掉:政治 **90.6%** 保留 · 出席 7"
README_zh.md,**62.6%,":**虔诚度与看重服从相关 +0.27、与性态度相关 +0.25…+0.47**〔`#774` 持久化〕)(⚠ **前两个份额是 GSS 上的,同一轮的第二具仪器把它们反了过来 —— 而残余没反**:MFQ 上宗教 16.0% · 政治 28.7% · 残余 **62.6%**,与 GSS 的 62.4% 差 0.2 个百分点) | 同一批人(n=9,580–10,467)上偏掉:政治 **90.6%** 保留 · 出席 79.0% · 原教旨 82"
README_zh.md,62.4%,"7、与性态度相关 +0.25…+0.47**〔`#774` 持久化〕)(⚠ **前两个份额是 GSS 上的,同一轮的第二具仪器把它们反了过来 —— 而残余没反**:MFQ 上宗教 16.0% · 政治 28.7% · 残余 **62.6%**,与 GSS 的 62.4% 差 0.2 个百分点) | 同一批人(n=9,580–10,467)上偏掉:政治 **90.6%** 保留 · 出席 79.0% · 原教旨 82.3% · 认同强度 86.2%"
README_zh.md,63.6%,".2% · **三个宗教量一起 66.9%** · **宗教+政治全放 62.4%** | ⚠ **判词 W-M:66.9% 落在预注册的 50%–75% 之间,判不了,而我没有改阈值**;⚠⚠ **而这是我连着第二次落进自己留的中间带**(`#754` 是 63.6%)—— 不是世界含糊,是**我把阈值当圆整数去拍**,而它应当由可测的量导出(该效应自己的零 / MDE / 另一个已知解释变量的份额);⚠ 三个宗教量彼此相关(ρ(attend,"
README_zh.md,53%,"轨迹单独作用会让归一耦合下降**,而「实测 − 模拟」是 **+0.00240 / +0.00403 / +0.00438**,**梯度反而更大**;**但闸判 UNVERIFIED,因为它比的是 |零| 对 |效应|(0.00151 是 0.00287 的 53%),而这个比较对符号是瞎的。**⇒ **维持降级:既没被恢复,也没被撤回** `[#748「模拟指向反方向,而闸只会比大小」]`(Entry 748):它可能是方差差造的;⚠ **"
README_zh.md,113%,+0.00075 是天花板(0.947 → 0.558)说的(Entry 740 · 741 · 742) 〔GSS〕 ⟨**3.1×**〕| | **也不是老一代退出:同一批出生世代自己连的** | 世代内合并斜率 **+0.2418/36年 = 总斜率的 113%** ⇒ **构成变化贡献 −13%**;四个世代无一例外:1929–45 **+0.142** · 婴儿潮 **+0.273** · X **+0.212** · 千禧 **+0
README_zh.md,−13%,7 → 0.558)说的(Entry 740 · 741 · 742) 〔GSS〕 ⟨**3.1×**〕| | **也不是老一代退出:同一批出生世代自己连的** | 世代内合并斜率 **+0.2418/36年 = 总斜率的 113%** ⇒ **构成变化贡献 −13%**;四个世代无一例外:1929–45 **+0.142** · 婴儿潮 **+0.273** · X **+0.212** · 千禧 **+0.314** | ④ 正对照:世代内
README_zh.md,**84%,"到 NSFG 的人群(女性15–44),GSS 反而升到 9.45×**;⚠ **零的分母由同一份问卷里其余那些题决定 ⇒ 跨仪器的比值不可直接比**(Entry 718 · 730) 〔GSS·NSFG〕 ⟨GSS 3.10× · NSFG 0.96×,而 **84% 的差是分母**〕| | ⛔ ~~「性是一块」在两具仪器上都成立~~ **只剩 GSS 一条腿** | GSS **0.416** · NSFG **0.346** | 同池同 k"
README_zh.md,29%,"示那条声明错了**(Entry 710 / `#710`)。  **°** = **零未配套**:该声明的零不在它那一轮的脚本输出里(无 `results/*.json`,或 JSON 内无零)⇒ **无法核对那个零配不配这个效应**。全页 **7/24 = 29%** 可配套(Entry 695)。  ## 做不到的  | 做不到 | 为什么 | |---|---| | 把「教育让性道德成一个立场」升格成关于「性」或「纯洁」的话 | 第二具"
README_zh.md,22%,"拦一放);历史 **201** 条只点名不阻断 | ⚠ 判不了「那个零配不配这个效应」—— 那正是清点失败的原因,纯文本账本上无法自动判定(Entry 694) | | **这一页上大多数数字后面没有零** | 账本第六百条之后的 93 条里,只有 **14–22%** 报了自己的零(紧/松两种读数都报)⇒ **其余 78–86% 无法判断那个数是不是刚刚越过噪声**。脆分母清点因此作废(Entry 693) | | **比值的阈值必须从它自"
README_zh.md,86%,"个零配不配这个效应」—— 那正是清点失败的原因,纯文本账本上无法自动判定(Entry 694) | | **这一页上大多数数字后面没有零** | 账本第六百条之后的 93 条里,只有 **14–22%** 报了自己的零(紧/松两种读数都报)⇒ **其余 78–86% 无法判断那个数是不是刚刚越过噪声**。脆分母清点因此作废(Entry 693) | | **比值的阈值必须从它自己的零里量** | 「压缩在一侧强 2.4 倍」归于「更一致」那一"
README_zh.md,**3.3%,"的 kill 措辞是错的**:它问的是「间接效应是否 ≠ 0」(是),而不是「它是否承载了总量」(否);**两种读法都留在记录里**,而不是把前一个悄悄替换掉。⚠ n = 6,715,横断面,羞耻全程在模型里;族内阈在 400 与 4,000 次置换之间移动 **3.3%**。  ⚠ **`#440`:而这不是「你喜欢什么」,是「你的喜欢怎么分布」。** 广度型通往「这件事我改不了」的**直接**那条路,是本页最大的一块没有解释的东西,所以把它拆到"
README_zh.md,**31%,"只是「卷入得多的人更觉得改不了」。把那个计数加进控制集重拟合,**两臂都报**:三个系数从 **0.052 / 0.053 / 0.035** 变成 **0.052 / 0.062 / 0.047** —— **没有一个塌掉,两个反而变大**,广度型那个大了 **31%**。**⇒ 卷入度是在**遮蔽**这个关系,而不是在制造它;领头的残差结构跟着的是卷入度里没有的东西。** ⚠ 我预测的是第二个成分会塌。⚠ **`#443` 给了它第一个形状:"
README_zh.md,95%,"差,住在一个几乎正好已经被这个 focal 扣掉了的层里。** 再加一道检查:把**整体评分强度**作为**替代**协变量放进模型 —— **如实标注它是替代品,不是那个真正的控制** —— 系数从 **+0.050** 变成 **+0.048**,**保留 95%**。⚠ 这个分离不是彻底的:扣掉早熟度之后的人内倾斜,仍与平均起始年龄相关 **+0.27**。⚠ 横断面。 ⚠ **`#454`:而它是一条**斜坡**,不是一道**坎**。*"
README_zh.md,**0.74%,"一个机制的两张脸**,而本轮分不出世界是哪一种。 ⚠ **`#457` 把这条注意事项变成了一个可以在检验**跑之前**就算出来的数。** 控制一个结局最多能把另一个的系数移动多远,由**三个相关系数**完全决定,因此是可以事先知道的:这两臂的上界是总效应的 **0.74%** 与 **0.36%**,而两次完整拟合实际移动了 **0.7%** 与 **0.5%**。同一个计算说页面上那条色情使用量的中介**确实有空间**,所以这不是一条拒绝一切的规"
README_zh.md,**0.36%,"本轮分不出世界是哪一种。 ⚠ **`#457` 把这条注意事项变成了一个可以在检验**跑之前**就算出来的数。** 控制一个结局最多能把另一个的系数移动多远,由**三个相关系数**完全决定,因此是可以事先知道的:这两臂的上界是总效应的 **0.74%** 与 **0.36%**,而两次完整拟合实际移动了 **0.7%** 与 **0.5%**。同一个计算说页面上那条色情使用量的中介**确实有空间**,所以这不是一条拒绝一切的规则。**一个上界只有百分"
README_zh.md,**0.7%," 把这条注意事项变成了一个可以在检验**跑之前**就算出来的数。** 控制一个结局最多能把另一个的系数移动多远,由**三个相关系数**完全决定,因此是可以事先知道的:这两臂的上界是总效应的 **0.74%** 与 **0.36%**,而两次完整拟合实际移动了 **0.7%** 与 **0.5%**。同一个计算说页面上那条色情使用量的中介**确实有空间**,所以这不是一条拒绝一切的规则。**一个上界只有百分之零点几的中介检验不可能失败 ——****而"
README_zh.md,**0.5%,"一个可以在检验**跑之前**就算出来的数。** 控制一个结局最多能把另一个的系数移动多远,由**三个相关系数**完全决定,因此是可以事先知道的:这两臂的上界是总效应的 **0.74%** 与 **0.36%**,而两次完整拟合实际移动了 **0.7%** 与 **0.5%**。同一个计算说页面上那条色情使用量的中介**确实有空间**,所以这不是一条拒绝一切的规则。**一个上界只有百分之零点几的中介检验不可能失败 ——****而这件事现在是在跑之前被"
README_zh.md,2×,"而这个残差有很大一块是性别的,与紧接着那处分歧一致。⚠ **`#325`:而两个指标带得并不一样多** —— `animated` ↔ 羞耻 **+0.0985**,`written` ↔ 羞耻 **+0.0515**,这个差**正好压在本设计的分辨率上**(2×MDE = 0.047)。方向是共享的,份额不是。在性别上两者相差远更大(**−0.061** vs **−0.267**),所以一个合成分的相关可以几乎全部来自其中一个指标。 |"
README_zh.md,+89.4%,",控制年龄、类别数,窄臂另控 `S` 与 `c3⁻`:系数在从没有过性伴的人身上是 **−0.015**,在其余人身上是 **−0.077**,差 **−0.062**,越过随机重分层给出的阈 0.042(宽口径 n = 12,516,guard 25 增幅 +89.4%)。三个可算的格全部带着预注册的负号,只有最宽的那格越阈。 ⚠ **这确立的是「这个差不是噪声」,不是「羞耻需要观众」**:从没有过性伴的人**既没有观众,也没有机会**,而「实践"
README_zh.md,**67%,":把性别从**每一个**块层分数里回归掉,这个倾向保留 **102%**(4.9× 自身展布,方向是**升**);而同样的处理让一个纯**性别驱动**的位置种植塌到 **−0%**、让一个纯**个人**的位置种植存活到 **+0.986**;移除勾选数后存活 **67%**,而且它与勾选数的相关(+0.608)**低于**零的(+0.719) 。**而它也不是一个更大的「内容」维度的投影**(`#165`):直接在**选项矩阵**上给人打分 ——"
README_zh.md,**4%,"熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置换零 +0.0018,**8.8×**。**离散版本(最早一格 vs 他自己的曲目库)独立复现:扣掉时间表后 +0.0767,14.5×**。`#114` 的回忆偏差实际只贡献 **4%**,且对主量符号相反。⚠ **`#211` 给这条声明补上它一直没有的边界**:用同一条管道把起始年龄截到 14 / 16 / 18 岁(种植的效应在**每一档**都仍然开火),"
README_zh.md,61%,"种植效应还小。内容线也不解释它(PC4 只 0.2×),稀有度离散度也不(+0.191)。**机制已定位**(`#148` `#152`):**它是那张所有人共享的发育时间表投影到每个人身上的样子** —— **五种不同的时间表定义下都解释掉大部分,符号一致(61%–104%)**。⚠ **量级是规格依赖的**:`#148` 报的「80%,超出随机基准 44 个百分点 20.0×」已撤回 —— 那个基准是**一次**随机抽样(20 抽跨 −6"
README_zh.md,63.30%,"西是一个稳定的性质(`#100`:+0.4611,23.1×);什么时候得到它们,不是。**⚠ **机制 UNVERIFIED**:题目层 Spearman(稀有度, 起始年龄**中位数**)= +0.437,但中位数是一个**更差的时间表**(留出成对顺序 63.30% vs 均值 66.70%),而均值序与稀有度无关(+0.011)。左尾解释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味"
README_zh.md,66.70%,"00`:+0.4611,23.1×);什么时候得到它们,不是。**⚠ **机制 UNVERIFIED**:题目层 Spearman(稀有度, 起始年龄**中位数**)= +0.437,但中位数是一个**更差的时间表**(留出成对顺序 63.30% vs 均值 66.70%),而均值序与稀有度无关(+0.011)。左尾解释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大*"
README_zh.md,91%,"稀有度无关(+0.011)。左尾解释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +0.5878。`#114` 的回忆偏差实际贡献 39%。**换成离散统计量后复现:匹配后 +0.0532,"
README_zh.md,100%,"释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +0.5878。`#114` 的回忆偏差实际贡献 39%。**换成离散统计量后复现:匹配后 +0.0532,5.1×**。**而 `#150` "
README_zh.md,17%,"**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +0.5878。`#114` 的回忆偏差实际贡献 39%。**换成离散统计量后复现:匹配后 +0.0532,5.1×**。**而 `#150` 的预注册点预测命中**"
README_zh.md,86%,"的预注册点预测命中**:换成""他最早那个有多罕见""来测,得 **+0.0370**(预测 +0.0404,符号按定义相反,判别量 0.2×)—— **这句话不依赖我用哪个统计量**。⚠ 但只是 CONSISTENT 不是 PROVEN:等价界只能排除大于效应 86% 的差异,而 `#151` 证明**这个 release 里没有能焊死它的工具**(强制选择更干净但只有 10 块,信度 0.252 vs 0.461,净结果是分辨率损失) | `"
README_zh.md,11%," 23 倍 —— **这条声明安全,是因为设计而不是运气** | `#101` `#102` `#154` | | **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最小的;零的实现 sd 是效应的 5.5%),种植阶梯单调。**这是本数据集第一个被直接量出来的回忆偏差,而整个成熟"
README_zh.md,5.5%,"` | | **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最小的;零的实现 sd 是效应的 5.5%),种植阶梯单调。**这是本数据集第一个被直接量出来的回忆偏差,而整个成熟时间表建立在它之上**。⚠ **它是人群规律,不是个人的**(`#162`):按人估计的斜率,其分半信度*"
README_zh.md,14%,"所谓「分辨率远低于」其实是 1.4 倍的系数)、一条缩了(就是这一条)、一条**方向是反的** —— 一句「重叠窗口会抬高噪声带」的警告,实际上它把噪声带**压低**了,0.46 对 0.76 —— 还有一条站住了:把五级题降成是/否,代价约为**内部信度的 14%**,所以先前那句「保留 93%」不需要打折 `[#585「四堵墙,只有一堵是它自己说的那样」]`。⚠ 而拿到那个数之前,得先发现家庭那几道题里**有三道是反着问的** —— *没"
README_zh.md,93%,"4 倍的系数)、一条缩了(就是这一条)、一条**方向是反的** —— 一句「重叠窗口会抬高噪声带」的警告,实际上它把噪声带**压低**了,0.46 对 0.76 —— 还有一条站住了:把五级题降成是/否,代价约为**内部信度的 14%**,所以先前那句「保留 93%」不需要打折 `[#585「四堵墙,只有一堵是它自己说的那样」]`。⚠ 而拿到那个数之前,得先发现家庭那几道题里**有三道是反着问的** —— *没有孩子的人不可能真正幸福*、*年"
README_zh.md,64%," 0.558** —— **那 +0.00075 是天花板说的,不是人说的。** > ⇒ **三个性题全都加入了,而且速率几乎一样。「出轨没加入」撤回。** > ⚠ 而最该记住的是:**`#739` 早就量出 `xmarsex×homosex` 的伪影份额是 64%** —— > **我手里已经有那个数,却在下一轮拿生斜率写了一句实质结论。用了自己的控制,又无视了它的输出** `[#742「「出轨没加入」是天花板说的,而那个数我上一轮就有了」"
README_zh.md,84%,";几乎不去的那一群,他们的两个判断从头到尾就没有连得更紧。** ⚠ 而这句话说的是**耦合**,不是**宽容度** —— 两群人对同性恋都变宽容了,不同的是这个判断有没有跟「婚前性」挂上钩。⚠ 安慰剂防的是本轮自己的陷阱:随机三分组给 +0.00563(总的 84%)⇒ **分层本身只花 16%,而按礼拜频率分花 36%,差是真的。** ⛔ ~~一处解读:几乎不去教堂的人 1988 年 `premarsx` 已接近顶,性道德在他们那里不再是一"
README_zh.md,16%,"判断从头到尾就没有连得更紧。** ⚠ 而这句话说的是**耦合**,不是**宽容度** —— 两群人对同性恋都变宽容了,不同的是这个判断有没有跟「婚前性」挂上钩。⚠ 安慰剂防的是本轮自己的陷阱:随机三分组给 +0.00563(总的 84%)⇒ **分层本身只花 16%,而按礼拜频率分花 36%,差是真的。** ⛔ ~~一处解读:几乎不去教堂的人 1988 年 `premarsx` 已接近顶,性道德在他们那里不再是一个需要重新归类的系统。~~ *"
README_zh.md,36%,"。** ⚠ 而这句话说的是**耦合**,不是**宽容度** —— 两群人对同性恋都变宽容了,不同的是这个判断有没有跟「婚前性」挂上钩。⚠ 安慰剂防的是本轮自己的陷阱:随机三分组给 +0.00563(总的 84%)⇒ **分层本身只花 16%,而按礼拜频率分花 36%,差是真的。** ⛔ ~~一处解读:几乎不去教堂的人 1988 年 `premarsx` 已接近顶,性道德在他们那里不再是一个需要重新归类的系统。~~ **下一轮把它当成可测的东西"
README_zh.md,127%," 0.917],**性组的 0.833 落在第 76.6 百分位,经验 p = 0.2340。** ⚠ **而安慰剂直接把整轮判掉了**:把「性 / 非性」标签在 34 格上随机打乱,同号率差的中位是 **0.1061** —— **是实测 0.0833 的 127%,随机重贴标签造出的差比真实分组还大。** 正对照(定向后 `xmarsex` 仍为 +0.110 / +0.186)与 meta 检查(定向表整体取反,主量绝对值不变)都过了,*"
README_zh.md,56%,"干净得刺眼:**礼拜出席是单调的** —— 几乎不 +0.1886 → 偶尔 +0.1121 → 常去 +0.0914 → 每周以上 +0.0498,**而且它不触发死穴**(构成差最大的是梯度最低那一层)。**但它自己的死刑梯度是 +0.0781,仍是它的 56%,过不了同一道安慰剂。** **一个漂亮的单调形状,不因为它漂亮就获得豁免** —— 记作描述,不作结论。⇒ **方式效应在那一道题上是真的,而它既不能被证明是性题特有的,也不能被"
README_zh.md,37%,"个东西。****⇒ 同一套码内换对象几乎不动,跨构念几乎无关**,这正是这一页第十八件那个形状在一对新构念上的重现。⚠ 两处边界:两份出版物**第一作者相同**,所以这是**跨出版物而非跨独立研究组**;而安慰剂(服从 × 纬度)是 **0.2897,效应的 37%**,过线但偏高 `[#667「一个为「先查再说话」而设的步骤,自己带着一个假覆盖的 bug」]`。  - **第四十一件,而它是一件工具加一条有界的结论:这一页没有一条声明是假覆"
README_zh.md,125%,"那一块还紧一点)—— **而它同时就是对手假说**:若同一条梯度也出现在这里,那就不是关于性的。**结果:对手在每一个分层上都更强(年龄 +1.00、教育 +1.00、礼拜 +0.80,对主效应的 +0.80 / +0.80 / +0.60)—— 是主效应的 125%,而判据要求它小于一半。** ⚠ **而这顺手给一个旧的失败起了名字**:此前量到「问法效应的层间梯度也出现在死刑上」(是效应的 69%),当时只能记「梯度不是性题特有的」;**现"
README_zh.md,69%,"+1.00、教育 +1.00、礼拜 +0.80,对主效应的 +0.80 / +0.80 / +0.60)—— 是主效应的 125%,而判据要求它小于一半。** ⚠ **而这顺手给一个旧的失败起了名字**:此前量到「问法效应的层间梯度也出现在死刑上」(是效应的 69%),当时只能记「梯度不是性题特有的」;**现在两次失败是同一件事 —— 一种作答一致性特质,而这一次它被正面测到了。** ⚠ 一格 G4 不同意,一起发:NSFG 的年龄在五分位规"
README_zh.md,95%,"**而这条回头咬到了两轮之前的自己**:那一轮的头条用的正是四层上的相关系数,报的是 **+0.80(性道德)/ +1.00(性别角色)—— 在自己的置换零下 p 是 0.3333 与 0.0833,两个都不显著。** 把九组电池全部放到**十分位**(零的 95% 分位降到 0.6364)再做多重性校正,**过关的只剩两组:机构信任 −0.9000(p=0.0008)与堕胎 +0.7500(p=0.0148),而「性道德」+0.6848 不"
README_zh.md,93%,"世代等于年份减年龄,与年份相关 +0.4601,所以世代与时期在这个设计里不可分;这一轮只分离了教育与世代,而且教育不是随机分配的 —— 「是教育」= 「同一世代内,教育这条轴上仍有梯度」,不是「教育导致了它」** `[#683「分层掉世代之后,教育效应留下 93%」]`。 - **第五十六件,而它三道门里有三道是我自己写坏的,其中第三道坏在「惩罚好结果」上,所以这一轮的方向只能作为下一轮的假设,不能报。** 这一轮要问的是整条线唯一触到「算"
README_zh.md,22%,"页上大多数数字后面没有零」]`。 - **第六十六件,一次交付,而它没有关于人的那一句话——我不编一个:连续两轮的失败指向的不是分析,是「每条结论必须带自己的零」这条规矩没有被机械执行,于是这一轮把它做成了闸上的一条规则。** 上一件量出:账本后段只有 14–22% 的条目报过自己的零,所以再清点第三次是徒劳——数据不存在。新规则的代理账写在函数里:**它只在一个方向上可靠**——含效应而不含任何零的表述,就确实没报零;**反过来不成立,含零"
README_zh.md,29%,"*不许用任何启发式配对**:只接受由该轮脚本自己写进同一份输出的效应—零对,**它们由脚本的代码配对,不是由我配对**,其余一律记「无法对应」。正对照先跑:某一轮的三个零必须逐字在它自己的输出里 —— 全部在,所以清点可采信。**结果:二十四条里,七条可配套(29%);十一条那一轮根本没有任何脚本输出,多为社会侧最早的几轮;六条有输出但输出里没有零。** 其余十七条已在页面上逐条加了「零未配套」的记号并附图例。⚠ **而必须说清这个记号不是什"
README_zh.md,10%," | 减零不修正估计器,它把估计器的失败记在被估计量头上 `#86` `#87` `#88` | | ""少数人集中于稀有选项"" | **措辞撤回,存在性保留** | 是对称加宽,不是子群 `#99` | | ""越早进入版图的东西越在中心"" | **撤回,只剩 10%** | 那不是时间,是""什么都给高分的人"" `#115` | | ""特质追踪更早的获取年龄"" | **撤回** | −0.030 对零 −0.028,零是效应的 91% `#10"
